Bölüm,Madde No,Başlık,İçerik
,1,,"(1) Bu Tebliğin amacı, kalkınma planları, yıllık programlar ve stratejilerdeki ilke, hedef ve politikalar çerçevesinde teknolojik ürün ve çözümlerin işletme süreçlerine entegre edilerek maliyet azaltımı, verimlilik ve kalite artışı, çalışan ve müşteri memnuniyeti gibi sonuçlar elde etmeyi amaçlayan yatırımların desteklenmesine yönelik olarak yürütülecek dijital dönüşüm (Mülga ibare:RG-12/7/2025-32954) programının uygulama usul ve esaslarını belirlemektir. (2)  Bu Tebliğ, dijital dönüşüm (Mülga ibare:RG-12/7/2025-32954) programının başvuru, inceleme, değerlendirme, izleme ve tamamlama süreçlerinde uygulanacak usul ve esaslar ile dijital dönüşüm (Mülga ibare:RG-12/7/2025-32954) programının yönetimine ilişkin diğer hususları kapsar. Dayanak"
,2,,(1) Bu Tebliğ; 1 sayılı Cumhurbaşkanlığı Teşkilatı Hakkında Cumhurbaşkanlığı Kararnamesinin 385 inci maddesinin birinci fıkrasının (y) bendi ve 388/A maddesinin birinci fıkrasının (e) bendi ile (Değişik ibare:RG-12/7/2025-32954) 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Kararın 11 inci maddesine dayanılarak hazırlanmıştır. Tanımlar
,3,İKİNCİ BÖLÜM,"(1) Bu Tebliğde geçen; a) Bakan: Sanayi ve Teknoloji Bakanını, b) Bakanlık: Sanayi ve Teknoloji Bakanlığını, c) Büyük işletme: KOBİ tanımı dışında kalan işletmeleri, ç) Değerlendirici: İşletmelerin dijital olgunluk değerlendirmesini yaparak yatırımcı ile beraber yatırım planını hazırlamak, yatırım süreci boyunca başvuru, revizyon, yatırımın ilerlemesi ve benzeri tüm aşamalarda yatırımcılara yol göstermek ve danışmanlık yapmak üzere MTGM veya MTGM’nin yetkilendirdiği kurum veya kuruluş tarafından sertifikalandırılmış ya da görevlendirilmiş gerçek veya tüzel kişiyi, d) Değerlendirici listesi: Değerlendiricilerin yer aldığı ve portalde yayımlanan listeyi, e) Dijital dönüşüm: İşletmelerin tedarik, üretim, pazarlama, satış gibi tedarik zincirleri ve değer zincirleri boyunca hız, esneklik ve verimlilik kabiliyetleri kazanabilmeleri için nesnelerin interneti, bulut teknolojileri, robot teknolojileri, büyük veri, artırılmış gerçeklik, yapay zekâ, dijital ikiz, süreç otomasyonu gibi dijital teknolojilerden faydalanarak iş süreçlerini iyileştirmelerini ve mevcut kabiliyetlerini geliştirmelerini sağlayan dönüşümü, f) (Değişik ibare:RG-12/7/2025-32954) Dijital dönüşüm programı: Teknolojik ürün ve çözümlerin işletme süreçlerine entegre edilerek maliyet azaltımı, verimlilik ve kalite artışı, çalışan ve müşteri memnuniyeti gibi sonuçlar elde etmeyi amaçlayan yatırımların desteklenmesine yönelik olarak MTGM tarafından yürütülecek destek programını, g) Dijital dönüşüm merkezi: Dijital dönüşüm (Mülga ibare:RG-12/7/2025-32954) programı kapsamında dijital teknolojileri kullanarak iş akışları, operasyonel verimlilik ve müşteri deneyimi ve benzeri değer zinciri süreçlerini iyileştiren yenilikçi ve teknoloji odaklı işletmeyi, ğ) Dijital dönüşüm yatırımı: Yatırımcı tarafından dijital dönüşümü sağlamaya yönelik yapılan yatırım projesini, h) Dijital olgunluk değerlendirmesi: İşletmelerin faaliyetlerinde dijital teknolojilerden ne kadar yararlandıklarını ve bu teknolojileri iş süreçlerine ne kadar entegre ettiklerini analiz eden değerlendirici tarafından yapılan mevcut durum değerlendirmesini, ı) Elektronik Teşvik Uygulama ve Yabancı Sermaye Bilgi Sistemi (E-TUYS): Sanayi ve Teknoloji Bakanlığı Teşvik Uygulama ve Yabancı Sermaye Genel Müdürlüğü tarafından yönetilen web tabanlı uygulamayı, i) Gelişme raporu: Dijital dönüşüm yatırımının teknik ve mali gerçekleşmeleri ile ilerleme durumunun izlenmesinde kullanılmak üzere yatırımcı tarafından MTGM’nin belirleyeceği formatta hazırlanacak raporu, j) Harcama listesi: Ürün listesine uygun olarak hazırlanmış, yapılması planlanan makine ve teçhizat, yazılım ve sistem yatırımlarını, k) İzleyici: Gerekli görülmesi halinde dijital dönüşüm yatırımlarının yerinde incelenmesi amacıyla MTGM tarafından görevlendirilen öğretim elemanları, diğer kamu görevlileri ile kamu görevlisi olmayan alanında uzman diğer kişileri veya Bakanlık personelini, l) (Değişik:RG-12/7/2025-32954) Karar: 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Kararı, m)  KOBİ: 24/5/2023 tarihli ve 7297 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Küçük ve Orta Büyüklükteki İşletmeler Yönetmeliği kapsamındaki işletmeleri, n) Kullanıcı: Portale giriş yetkisi olan yatırımcı yetkilisini, o) MTGM: Sanayi ve Teknoloji Bakanlığı Milli Teknoloji Genel Müdürlüğünü, ö) Portal: Programa ilişkin bilgilendirme, başvuru, izleme, değerlendirme ve raporlamaların tek pencere üzerinden yapılmasını sağlamak amacıyla Bakanlık tarafından geliştirilen web tabanlı uygulamayı, p) Program: Dijital dönüşüm (Mülga ibare:RG-12/7/2025-32954) programını, r)  Tamamlama vizesi: Yatırım süresi içerisinde teşvik belgesi alınarak yapılmış bir yatırımın tamamlandığına dair verilen onayı, s) Teşvik belgesi: Karar kapsamında TUYSGM tarafından düzenlenen yatırım teşvik belgesini, ş) TUYSGM: Sanayi ve Teknoloji Bakanlığı Teşvik Uygulama ve Yabancı Sermaye Genel Müdürlüğünü, t) Ürün Listesi: Dijital dönüşüm yatırımlarında destek kapsamına alınabilecek ürün ve hizmet tanımları ile gerekliliklerin yer aldığı listeyi, u) Yatırımcı: Dijital dönüşüm yatırımını gerçekleştirecek Türkiye’de yerleşik sermaye şirketlerini, ü) Dijital dönüşüm yatırım planı (Yatırım planı): Program kapsamında başvuruda bulunan yatırımcının dijital olgunluk değerlendirmesini, yatırımın kapsamını, teknik, ekonomik ve mali bilgilerini, harcama listesini, proje takvimini, dijital dönüşüm ekibini ve iş planını içeren değerlendirici tarafından yatırımcı ile birlikte yol haritası ile uyumlu olarak hazırlanacak ve formatı MTGM tarafından belirlenecek planı, v) Yol haritası: Değerlendirici tarafından olgunluk değerlendirmesi ve mevcut durum analizini müteakip belirlenmiş dijitalleşme hedeflerine ulaşılması için etkin kaynak planlaması ve sürekli iyileştirme kriterleri çerçevesinde oluşturulmuş; işletme tarafından izlenmesi gereken hazırlıklar, adımlar, uygulamalar, stratejiler ile dijital olgunluk değerlendirmesini içeren en az 5 yıllık planlama dönemini kapsayan dokümanı, ifade eder. Program Kapsamında Desteklenecek Harcamalar Program kapsamında desteklenecek harcamalar"
,4,,"(1) Program kapsamında dijital dönüşüm harcaması olarak kabul edilecek harcama kalemlerini ve bunlarda aranacak nitelikleri içeren Ürün Listesi, kamu politika ve strateji belgelerinde belirlenen öncelikler, desteklerden yararlanabilecek sektörlerin dijital dönüşüm ihtiyaçları, dijital dönüşüm ürün ve hizmetlerinin katma değer üretme potansiyeli; bunların uygulanabilirliği ve sürdürülebilirliği için teknoloji tedarikçilerinin yeterliliği gibi hususlar dikkate alınarak Bakanlık tarafından belirlenir. Ürün Listesi ekonomik ve teknolojik gelişmelere göre gerekli görüldüğünde Bakanlık tarafından revize edilebilir. Geçerli Ürün Listesi ve ürünlere dair şartlar, Portalde ve/veya Bakanlık resmî internet sitesinde yayımlanır. (2) Program kapsamında, yatırımcının mevcut faaliyetleri kapsamında maliyet azaltımı, verimlilik ve kalite artışı, çalışan ve müşteri memnuniyeti gibi sonuçlar elde etmesini amaçlayan dijital dönüşüm yatırımları desteklenir. Doğrudan kapasite artırmaya yönelik komple hat modernizasyonu ile yeni veya tevsi yatırımlar Program kapsamında desteklenmez. (Değişik cümle:RG-12/7/2025-32954) Yatırımlar, asgari sabit yatırım tutarına göre Kararın 8 inci maddesinde yer alan stratejik hamle programı veya 9 uncu maddesinde yer alan öncelikli yatırımlar teşvik sistemi kapsamında yer alan desteklerden ürün listesindeki tanımlara uygun harcama listesi için faydalanır. (3) (Mülga:RG-12/7/2025-32954)"
ÜÇÜNCÜ BÖLÜM,5,,"(1) Program kapsamında başvuru, değerlendirme, izleme süreçlerine dair iş ve işlemler MTGM tarafından yürütülür. (2) Program kapsamında istenecek bilgi ve belgeler ile kullanılacak form, şablon, kılavuz, eğitim içerikleri gibi materyaller MTGM tarafından belirlenir. Başvuru"
ÜÇÜNCÜ BÖLÜM,6,,"(1) Programa, Portal üzerinden Türkiye’de yerleşik sermaye şirketleri başvurabilir ve başvuru, kullanıcı tarafından gerçekleştirilir. Başvuruda aşağıdaki kriterlerin sağlanması gerekir: a) Yatırımcının başvurunun yapıldığı tarih itibarıyla en az 5 yıldır faaliyette olması. b) Yatırımcının Bakanlıkça belirlenen ve Portalde ilan edilen ana faaliyet alanında faaliyet göstermesi. c) Asgari sabit yatırım tutarının (Değişik ibare:RG-12/7/2025-32954) öncelikli yatırımlar teşvik sistemi kapsamında yapılacak başvurular için Kararın 5 inci maddesinin ikinci fıkrasında belirtilen tutarda; stratejik hamle programı kapsamında yapılacak başvurular için Kararın 8 inci maddesinin sekizinci fıkrasında belirtilen tutarda olması. (2) (Mülga:RG-12/7/2025-32954) (3) Yatırımcı, yatırım planı ile son 6 ay içerisinde hazırlanan dijital olgunluk değerlendirmesini de içeren yol haritasını başvuru sırasında Portale yükler. (4) Başvuruda istenen diğer bilgi ve belgeler; Portalde yayımlanır ve başvuru sırasında yatırımcı tarafından hazırlanarak Portale yüklenir. (5) Bakanlık, başvuru işlemi veya revizyon talepleri için işlem ücreti alabilir. İşlem ücretine ilişkin bilgi MTGM tarafından Portalde ilan edilir. İnceleme ve değerlendirme"
ÜÇÜNCÜ BÖLÜM,7,,"(1) Başvuru, MTGM tarafından başvuru tarihinden itibaren 30 iş günü içinde incelenir. Bu incelemede, yatırımcının başvuruda sunduğu yatırım planı ile bu kapsamdaki dijital dönüşüm harcamalarının 4 üncü maddenin ikinci fıkrasına uygunluğu ile yatırım planının uygulanabilirliği ve Ürün Listesine uygunluğu değerlendirilir. (2) Yapılan inceleme sonucunda başvuru dokümanlarında eksiklik bulunması, Ürün Listesi ve/veya yol haritasına uygunsuzluk tespit edilmesi halinde bu eksiklik ve/veya uygunsuzluklar yatırımcıya, elektronik posta veya sistem üzerinden bilgilendirme mesajı ile gönderilir ve yatırımcı tarafından bu eksikliklerin tamamlanması ve/veya yatırım planının güncellenmesi istenir. Bildirim tarihinden itibaren 3 ay içerisinde eksiklik ve/veya güncellemeleri tamamlanmayan başvurular reddedilir. (3) Değerlendirme sonucunda uygun bulunan yatırım planı, MTGM tarafından onaylanır. (4) Yatırım planı ve projenin uygun bulunduğuna ilişkin onaylanan harcama listesi MTGM tarafından Karar kapsamında işlem tesis edilmesi amacıyla TUYSGM’ye Portal üzerinden iletilir. İşletme, teşvik belgesinin düzenlendiği tarihten itibaren dijital dönüşüm merkezi niteliğini kazanır ve dijital dönüşüm merkezi belgesi MTGM tarafından düzenlenerek işletmeye verilir."
DÖRDÜNCÜ BÖLÜM,8,,"(1) Yatırımcı, teşvik belgesi süresi boyunca, her bir takvim yılında gerçekleştirdiği dijital dönüşüm yatırımlarına ilişkin gelişme raporunu, takip eden takvim yılının ocak ayının sonuna kadar Portal üzerinden Bakanlığa bildirmekle yükümlüdür. (2) MTGM gerekli gördüğünde, yatırımcının dijital dönüşüm yatırımlarını yerinde incelemek üzere izleyici görevlendirebilir. Revizyon"
DÖRDÜNCÜ BÖLÜM,9,,"(1) Program kapsamında teşvik belgesi düzenlenen yatırıma ilişkin yatırım planına yönelik revizyon talepleri MTGM tarafından değerlendirilmek üzere E-TUYS üzerinden yapılır. Yatırım planına yönelik revizyon talepleri değerlendirici tarafından yatırımcı ile birlikte hazırlanır. (2) Güncel gelişme raporu sunmayan yatırımcıların revizyon talepleri değerlendirmeye alınmaz. (3) Revizyon talepleri MTGM tarafından, 7 nci maddenin birinci fıkrasındaki kriterlere göre değerlendirilir ve yapılacak değerlendirme neticesinde uygun bulunan talepler için (Değişik ibare:RG-12/7/2025-32954) Kararın 29 uncu maddesi kapsamında işlem tesis edilir. Tamamlama"
DÖRDÜNCÜ BÖLÜM,10,BEŞİNCİ BÖLÜM,"(1) Program kapsamında düzenlenen teşvik belgesi için tamamlama işlemleri, (Değişik ibare:RG-12/7/2025-32954) 21/6/2025 tarihli ve 32933 sayılı Resmî Gazete’de yayımlanan Yatırımlarda Devlet Yardımları Hakkında Kararın Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2025/1) hükümleri uyarınca TUYSGM tarafından yürütülür. Tamamlama işlemlerinin başlatılmasının uygunluğuna ilişkin MTGM görüşü alınır. (2) Yatırımcı, tamamlama vizesi müracaatında son 3 ay içerisinde yapılmış güncel dijital olgunluk değerlendirmesini Portale yükler. (3) Program kapsamında düzenlenen teşvik belgesinin tamamlama vizesi işlemlerinde, yatırımı yerinde incelemek üzere MTGM tarafından da izleyici görevlendirilebilir. (4) Yatırımın tamamlanmaması halinde yatırım, öncelikli yatırım (Ek ibare:RG-12/7/2025-32954) veya stratejik hamle yatırımı olma niteliğini; işletme ise dijital dönüşüm merkezi olma niteliğini kaybeder. Bu projeler için, TUYSGM tarafından değerlendirme yapılarak diğer teşvik uygulamalarından yatırımın niteliğine göre en uygun görülen program kapsamında teşvik belgesi (Değişik ibare:RG-12/7/2025-32954) düzenlenebilir. Çeşitli ve Son Hükümler Dijital dönüşüm yetkinliği"
