Madde No,Başlık,İçerik
1,BİRİNCİ BÖLÜM,"(Değişik:RG-9/7/2025-32951) (1) Bu Tebliğin amacı; Türkiye’de döngüsel ekonomi yaklaşımıyla uyumlu, doğal kaynakları koruyan, iklim ve sürdürülebilirlik hedeflerine katkı sağlayan, kaynak verimli ve düşük karbonlu üretimi amaçlayan yatırımların desteklenmesine yönelik olarak yürütülecek Yeşil Dönüşüm Programının uygulama usul ve esaslarını belirlemektir. (2) Bu Tebliğ, Yeşil Dönüşüm Programının başvuru, değerlendirme, izleme, revizyon ve tamamlama süreçlerinde uygulanacak usul ve esaslar ile Programın yönetimine ilişkin diğer hususları kapsar. Dayanak"
2,BİRİNCİ BÖLÜM,"(Değişik:RG-9/7/2025-32951) (1) Bu Tebliğ; 1 sayılı Cumhurbaşkanlığı Teşkilatı Hakkında Cumhurbaşkanlığı Kararnamesinin 385 inci maddesinin birinci fıkrasının (d) bendi, 388/B maddesinin birinci fıkrasının (ğ) bendi ile 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararıyla yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Karara dayanılarak hazırlanmıştır. Tanımlar ve kısaltmalar"
3,İKİNCİ BÖLÜM,"(1) Bu Tebliğde geçen; a) Bakanlık: Sanayi ve Teknoloji Bakanlığını, b) Başvuru Değerlendirme Raporu: Yol haritası raporu ve proje hedefleri ile yeşil dönüşüm uygulamaları arasındaki uygunluk ile yatırım unsurlarının proje hedeflerine katkısının değerlendirilmesini içeren ve değerlendirici tarafından program portali üzerinden oluşturulan raporu, c) Çağrı: Bakanlık tarafından belirlenen plan çerçevesinde çağrı koşullarını, başvuru ve değerlendirme süreçlerine ilişkin bilgileri ve çağrı takvimini içeren duyuruyu, ç) Değerlendirici: Değerlendirici Listesinden, yol haritası raporu ile projeye ilişkin değerlendirme, izleme, revizyon ve nihai durum ölçümü aşamalarında görevlendirilen kurumu, d) Değerlendirici Listesi: Yeşil dönüşüm uygulamalarında yetkin, akredite veya yetkilendirilmiş kurumlar ile TÜBİTAK MAM ve TSE arasından seçilmek üzere değerlendirici olarak görevlendirilebilecek kurumların yer aldığı, Genel Müdürlükçe oluşturularak program portalinde yayımlanan listeyi, e) Genel Müdürlük: Stratejik Araştırmalar ve Verimlilik Genel Müdürlüğünü, f) (Değişik:RG-9/7/2025-32951) Karar: 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararıyla yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Kararı, g) (Değişik:RG-9/7/2025-32951) Program: Yeşil Dönüşüm Programını, ğ) Program portali: Programa ilişkin tüm süreçlerin yürütülmesi ile bilgilendirme ve raporlamaların yapılmasını sağlamak amacıyla Bakanlık tarafından geliştirilen internet tabanlı uygulamayı, h) Proje: İmalat sanayinde faaliyet gösteren üretim tesisi ve yardımcı birimlerle sınırlı kalmak kaydıyla, belirlenen proje hedeflerine ulaşmak üzere yeşil dönüşüm uygulamalarını içeren projeyi, ı) TSE: Türk Standardları Enstitüsünü, i) TUYSGM: Teşvik Uygulama ve Yabancı Sermaye Genel Müdürlüğünü, j) TÜBİTAK MAM: Türkiye Bilimsel ve Teknolojik Araştırma Kurumu Marmara Araştırma Merkezini, k) Yatırım Teşvik Belgesi: Karar kapsamında verilen teşvik belgesini, l) Yatırımcı: Programa başvuran Türkiye’de yerleşik sermaye şirketini, m) Yeşil dönüşüm ekibi: Yol haritası raporunun hazırlanması, uygulanması ve izlenmesi süreçlerinde rol almak üzere yatırımcı tarafından oluşturulan en az üç kişiden oluşan ekibi, n) Yeşil dönüşüm lideri: Yeşil dönüşüm ekibinin süreçlerini koordine edecek ve tesis bünyesinde yeşil dönüşüm kültürünün yerleşmesini sağlayacak, yatırımcının bordrolu çalışanı, ortağı veya Yönetim Kurulu Üyesi olan ve yatırımcı tarafından yetkilendirilen gerçek kişiyi, o) Yeşil Dönüşüm Merkezi: Program kapsamında yol haritası raporu uygun görülen ve destek kararı alınan projeleri gerçekleştirecek olan tesislere yol haritasının uygulama süresince Genel Müdürlük tarafından verilen unvanı, ö) Yeşil dönüşüm uygulamaları: Belirlenen proje hedefine ulaşmaya yönelik olarak yatırımcı tarafından gerçekleştirilen uygulamaları, p) Yol haritası raporu: Yatırımcının yeşil dönüşüm sürecine ilişkin en az beş yıllık olmak üzere orta ve uzun vadeli planlamaları ile proje için belirlenen performans göstergelerindeki mevcut durumunu, hedef ve uygulamalarını içeren ve Bakanlık tarafından belirlenen formatta hazırlanarak program portali üzerinden başvuru aşamasında yatırımcı tarafından yüklenen raporu, ifade eder. Yol Haritası Raporu ve Proje Hedefi Yol haritası raporu"
4,İKİNCİ BÖLÜM,"(1) (Değişik:RG-9/7/2025-32951) Yatırımcı yeşil dönüşüm stratejisi çerçevesinde tesis bazında yürüteceği yeşil dönüşüm uygulamalarını içeren yol haritası raporunu hazırlar. Yol haritası raporu şablonu, Bakanlık tarafından çağrıda ilan edilir. Yol haritası raporunun Bakanlığın ilan ettiği şablon kullanılarak hazırlanması zorunludur. Yol haritası raporu, yatırımcının kendisi ya da kendi belirleyeceği kişi veya kurumlar tarafından hazırlanabilir. (2) (Değişik:RG-9/7/2025-32951) Yatırımcı yol haritası raporunun uygulama sürecinde gerçekleştirilmek üzere bir veya birden fazla proje sunabilir. Ancak yol haritası raporu içinde toplamda en az beş yıllık süreyi kapsayan bir veya daha fazla proje önerisi bulunması zorunludur. (3) Yatırımcı, başvurduğu projenin amacı, kapsamı, mevcut durum ölçümü, mevcut problemlerin tespiti ve çözüm yaklaşımları, proje hedefleri ile bu hedeflere ulaşmak için gerçekleştirilecek yeşil dönüşüm uygulamaları ve proje büyüklüğünü yol haritası raporunda sunar. (4) (Değişik:RG-9/7/2025-32951) Yol haritası raporunun uygulanması ve ilgili süreçlerin koordinasyonunun sağlanması sorumluluğu yeşil dönüşüm ekibindedir. Yatırımcı tarafından yeşil dönüşüm ekibi içerisinden bir yeşil dönüşüm lideri seçilerek yetkilendirilir. Genel Müdürlükçe programa ilişkin olarak gerçekleştirilecek bilgilendirmeler yeşil dönüşüm liderine yapılır. Yeşil dönüşüm ekibini oluşturan kişilerin bilgileri yatırımcı tarafından portale yüklenir. Kişilerde değişiklik yapılması gereken durumlar olduğunda Genel Müdürlüğe portal üzerinden gerekçeli bildirim yatırımcı tarafından yapılır ve uygun görülmesi halinde Genel Müdürlük onayı ile değişiklik gerçekleştirilir. Yatırım Teşvik Belgesi işlemlerinin elektronik ortamda yürütülmesine ilişkin mevzuat hükümleri çerçevesinde yetkilendirilmesi yapılmaksızın yeşil dönüşüm liderinin değiştirilmesi talep edilemez. Proje hedefi"
5,ÜÇÜNCÜ BÖLÜM,"(1) Yatırımcı yol haritası raporunda, başvuruda bulunduğu proje için miktarsal veya oransal olarak somut ve ölçülebilir iyileştirmeler içeren bir veya birden çok proje hedefi belirler. (2) Proje hedefi, aşağıda yer verilen performans göstergeleri dikkate alınarak birim üretim başına belirlenmelidir: a) Enerji tüketimi. b) Sera gazı emisyon miktarı. c) Hava kirletici emisyon miktarı. ç) Karbon ayak izi. d) Su ayak izi. e) Hammadde tüketimi. f) Atık miktarı. g) Su tüketimi. ğ) Atık su miktarı. h) Atık su kirlilik yükü. ı) Tesis atıklarından geri dönüştürülmüş girdi miktarı. (3) Kamu politika ve strateji belgelerinde yer alan öncelikler, Bakanlık veya diğer kamu kurum ve kuruluşları tarafından yayımlanan ilgili teknik mevzuat, desteklerden yararlanabilecek sektörlerin yeşil dönüşüm ihtiyaçları ile ekonomik ve teknolojik gelişmeler gibi hususlar dikkate alınarak Genel Müdürlük tarafından çağrılar özelinde performans göstergeleri belirlenebilir. (4) Proje hedefi, ikinci fıkrada sayılan göstergelerin en az birinde iyileştirme sağlamalıdır. (5) Proje hedefleri ile ilgili olarak projenin uygulanması öncesindeki mevcut durum ölçüm bilgileri başvuruda sunulacak olan yol haritası raporunda, projenin uygulanması sonrasındaki ölçüm bilgileri ise nihai durum ölçümünde sunulur. (6) Belirlenen proje hedeflerine ulaşılıp ulaşılmadığı, mevcut durum ve nihai durum ölçüm bilgileri karşılaştırılarak değerlendirilir. (7) Program kapsamında, varsa başvuru anında yürürlükteki ilgili ulusal mevzuat gereği erişilmesi zorunlu olan eşik değerlerin ötesinde gerçekleştirilecek iyileştirmeler dikkate alınır. Program Yönetimi, Başvuru, Değerlendirici Listesi ve Değerlendirme Program yönetimi"
6,ÜÇÜNCÜ BÖLÜM,"(1) Program kapsamında başvuruların alınması, yol haritası raporu ve projelerin değerlendirilmesi, izleme ve revizyon süreçleri ile projelere ilişkin karar alınması iş ve işlemleri, bilgi akışı ve iletişim, program portali aracılığıyla Genel Müdürlük tarafından yürütülür. (2) Genel Müdürlük, yatırımcı tarafından sunulan tüm bilgileri ilgili kamu kurumları nezdinde kontrol ve teyide yetkilidir. Başvuru"
7,ÜÇÜNCÜ BÖLÜM,"(1) Programa sadece imalat sanayinde faaliyet gösteren Türkiye’de yerleşik sermaye şirketleri başvurabilir. (2) Bakanlık, Program kapsamında genel veya sektörel başvuruya yönelik çağrılar açarak çağrılar bazında koşullar ve süreler belirleyebilir. (3) Çağrı bazında koşullar belirlenirken; kamu politika ve strateji belgelerinde yer alan öncelikler, desteklerden yararlanabilecek sektörlerin yeşil dönüşüm ihtiyaçları, ekonomik ve teknolojik gelişmeler, yeşil dönüşüme ya da çevre duyarlılığına ilişkin belgelendirmeler ile Bakanlık tarafından yürütülen proje ve faaliyetler dikkate alınır. (4) Yatırımcılar, çağrıda belirtilen koşullar uyarınca program portali üzerinden müracaatta bulunarak öngörülen takvim ve yöntem çerçevesinde başvuru işlemini tamamlar. (5) Başvuru kapsamında sunulması zorunlu olan yol haritası raporu, program portaline girilecek proje başvurusunun tamamlanmasını müteakiben en geç kırk iş günü içerisinde yatırımcı tarafından program portaline yüklenir. (6) Yol haritası raporu portale yüklenmeyen başvurular değerlendirme dışı bırakılır. (7) (Değişik:RG-9/7/2025-32951) Program kapsamında yatırımcı adına başvuru yeşil dönüşüm lideri tarafından yapılır. Yeşil dönüşüm liderinin yatırımcı tarafından Yatırım Teşvik Belgesi işlemlerinin elektronik ortamda yürütülmesine ilişkin mevzuat hükümleri çerçevesinde yetkilendirilmiş olması gerekir. (8) (Değişik:RG-9/7/2025-32951) Yatırımcılar, belirli bir yatırım adresi için program kapsamında yapılmış ve süreci devam eden bir başvuru veya aynı adreste program kapsamında düzenlenmiş açık Yatırım Teşvik Belgesi bulunması hallerinde ilgili yatırım adresi için yeni bir başvuru yapamaz. (9) Genel çağrının açık olduğu bir dönem içerisinde sektörel bir çağrının da açılması halinde, ilgili sektörde faaliyet gösteren kuruluşlar sadece sektörel bazlı çağrıya başvuru yapabilir. Değerlendirici listesi"
8,ÜÇÜNCÜ BÖLÜM,"(1) Yol haritası raporu ve proje başvurularının değerlendirme sürecinde Genel Müdürlük tarafından oluşturularak program portalinde yayımlanan Değerlendirici Listesinde yer alan değerlendiriciler görev alır. (2) Değerlendirici Listesi, değerlendiricilerin görev aldıkları projelerdeki sorumluluklarını zamanında ve etkin olarak yerine getirme durumları dikkate alınarak Genel Müdürlükçe güncellenebilir. (3) Projenin uygulanması aşamasında Genel Müdürlük tarafından, gerekli görüldüğünde yerinde incelemeyi de kapsayacak şekilde Değerlendirici Listesinden görevlendirme yapılabilir. (4) Değerlendirici; yatırımcının çalışanı, danışmanı, ortağı ile bunların eşleri ve üçüncü dereceye kadar kan ve kayın hısımları ile evlatlıkları ve evlat edinenlerini ilgili projede değerlendirme yapmak üzere görevlendiremez. Değerlendirme"
9,DÖRDÜNCÜ BÖLÜM,"(1) Desteklenecek projelerde; yol haritası raporunun uygun bulunması, program amaçlarına hizmet etme, ölçülebilir proje hedefleri içerme, yeşil dönüşüm uygulamalarına yer verme ve çağrıda yer alan şartları karşılama koşulu aranır. (2) Yol haritası raporunun sunulmasını müteakiben, proje başvurusunun Genel Müdürlük tarafından şekil yönünden incelenmesi neticesinde, şayet varsa hem yol haritası raporunda hem de projede tespit edilen eksikliklerin giderilmesi için yatırımcıya program portali üzerinden bilgilendirme yapılarak on beş iş gününden az olmamak kaydıyla düzeltme süresi verilir. Eksiklikleri bildirilen süre içerisinde tamamlanmayan başvurular, program portali aracılığıyla değerlendirme dışı bırakılır. (3) (Değişik:RG-9/7/2025-32951) Düzeltme süresi içerisinde tamamlanan başvurularda şekil yönünden eksiklikler olduğu tespit edilmişse yeniden düzeltme verilebilir. Yapılan inceleme sonucunda halen programın koşullarına uygun olmadığı tespit edilen projeler gerekçe belirtilerek program portali aracılığıyla değerlendirme dışı bırakılır. (4) Program portali üzerinden başvurusu onaylanan projeler için Değerlendirici Listesinde yer alan ve Genel Müdürlükçe belirlenen değerlendirici tarafından program portali üzerinden Başvuru Değerlendirme Raporu hazırlanır. Değerlendirici, kendisine proje atandığı tarihten itibaren kırk beş iş günü içerisinde Başvuru Değerlendirme Raporunu tamamlar. (5) Değerlendirme, aşağıdaki kriterler doğrultusunda yapılır: a) Yol haritası raporunun yatırımcının yeşil dönüşüm sürecine ilişkin orta ve uzun vadeli planlamalarını tutarlı ve kapsayıcı bir şekilde içermesi. b) Proje hedefleri ile yeşil dönüşüm uygulamalarının yol haritası raporuyla uyumlu olması. c) Yol haritası raporu ve proje kapsamında gerçekleştirilecek yeşil dönüşüm uygulamalarının bu alandaki ulusal ve uluslararası mevzuat ile iyi uygulamalar dikkate alınarak oluşturulması. ç) Projenin sektördeki öncelikler, yenilikçi uygulama örnekleri ve yeni geliştirilmiş teknolojileri içermesi. d) Proje hedeflerinin, ilgili alanda gerçekleştirilebilecek potansiyel iyileştirme alanları dikkate alındığında belirgin, ölçülebilir, kıyaslanabilir ve gerçekçi olarak belirlenmiş olması. e) Proje hedeflerinin, gerçekleştirilmesi öngörülen yeşil dönüşüm uygulamaları ve destek kapsamına alınması talep edilen yatırım unsurlarıyla uyumu. f) Proje hedeflerine ulaşmak üzere gerçekleştirilen yeşil dönüşüm uygulamalarının diğer performans göstergelerinde olumsuz etkiye neden olmaması. g) Yatırımcı tarafından belirtilen performans göstergelerine yönelik ölçümün yöntemi ve raporlamasına ilişkin unsurların doğruluk ve yeterlilik düzeyi. (6) Genel Müdürlük, Başvuru Değerlendirme Raporunu göz önünde bulundurarak projelere ilişkin kabul, ret veya revizyon kararını oluşturur ve program portali üzerinden yatırımcıya iletir. Revizyon kararı verilmesi durumunda yatırımcıya, revizyon kapsamında bildirilen eksiklik ya da uygunsuzlukların giderilmesi için kırk beş iş günü süre verilir. Bildirim tarihinden itibaren Genel Müdürlük tarafından verilen süre içerisinde revizyonu gerçekleştirmeyen yatırımcının başvurusu reddedilir. (7) Revizyon kararı verilen projeler, Başvuru Değerlendirme Raporunu hazırlayan değerlendiricilere yönlendirilir. Değerlendirici, revizyon kararı verilen projenin kendisine atandığı tarihten itibaren yirmi iş günü içerisinde program portali üzerinden değerlendirmesini tamamlar. (8) Reddedilen projeler için programa aynı içerikle bir yıl içinde tekrar başvuru yapılamaz. (9) Projesi reddedilen başvuru sahipleri, ret kararının kendilerine tebliğinden itibaren on beş iş günü içerisinde Genel Müdürlüğe itirazda bulunabilir. Bu kapsamda yapılan itirazlar, Genel Müdürlük tarafından yirmi iş günü içerisinde değerlendirilerek karara bağlanır. (10) Genel Müdürlük tarafından yol haritası raporu uygun bulunan ve destek kararı alınan projeleri gerçekleştirecek olan tesislere program portali üzerinden yol haritasının uygulama süresince Yeşil Dönüşüm Merkezi unvanı verilir. (11) (Değişik:RG-9/7/2025-32951) Desteklenmesi uygun bulunan başvurular, Yatırım Teşvik Belgesi düzenlenmesine esas teşkil edecek proje bilgileri ve destek kapsamını içerecek şekilde Karar kapsamında işlem tesis edilmek üzere program portali aracılığıyla TUYSGM’ye bildirilir. (12) Destek kararı alınan projeler için başlangıç tarihi, yatırımcının program portali üzerinden başvuru yaptığı tarihtir. Başvuru tarihi ile Yatırım Teşvik Belgesinin düzenlenme tarihi arasında geçen süre, proje için yatırımcı tarafından öngörülen süreye ilave edilerek Yatırım Teşvik Belgesinin süresi belirlenir. Proje Kapsamı ve Destek Unsurları Proje kapsamı (Değişik başlık:RG-9/7/2025-32951)"
10,DÖRDÜNCÜ BÖLÜM,"(1) Desteklenecek projeler, imalat sanayinde faaliyet gösteren üretim tesisi ve yardımcı birimlerle sınırlı kalmak kaydıyla proje hedeflerini gerçekleştirmeye yönelik olarak yapılacak arazi-arsa alımı, bina-inşaat harcaması ile alınacak makine, teçhizat, teknoloji, yazılım ve donanım ile ölçüm, doğrulama, belgelendirme, etüt, test ve danışmanlık hizmetlerini içerebilir. (2) (Değişik:RG-9/7/2025-32951) Program kapsamında mevcut tesise yapılacak ilave yeni yatırımlar dışında kalan komple yeni yatırımlar ile yeşil dönüşüm sürecinde kullanılacak teknoloji ve ürünlerin geliştirilmesi veya üretilmesine yönelik Ar-Ge veya yatırım faaliyetleri için destek sağlanmaz. Proje bütünlüğünün sağlanması amacıyla Kararın 9 uncu maddesinin birinci fıkrasının (e) bendi kapsamında yapılacak olan güneş veya rüzgâr enerjisine dayalı elektrik üretim tesisi yatırımları proje kapsamına dahil edilebilir. Ancak program kapsamında düzenlenecek Yatırım Teşvik Belgesinde bu yatırımlara yer verilmez ve Karar kapsamında öngörülen yatırım büyüklüğü açısından bu yatırımlar dikkate alınmaz. Destek unsurları"
