Madde No,Başlık,İçerik
1,,"– (Değişik:RG-9/7/2025-32951) (1) Bu Tebliğin amacı, 1 sayılı Cumhurbaşkanlığı Teşkilatı Hakkında Cumhurbaşkanlığı Kararnamesinin 385 inci ve 388/B maddeleri, 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararıyla yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Karar ve 17/10/2016 tarihli ve 2016/9495 sayılı Bakanlar Kurulu Kararıyla yürürlüğe konulan Yatırımlara Proje Bazlı Devlet Yardımı Verilmesine İlişkin Karar hükümleri çerçevesinde Türkiye’de orta-yüksek ve yüksek teknoloji seviyeli sektörlerdeki katma değeri yüksek ürünlerin ve bu sektörlerin gelişimi için kritik önemi haiz ürünlerin üretimini artırmaya yönelik olarak yürütülecek Teknoloji Hamlesi Programının uygulama esaslarını tespit etmektir. Dayanak"
2,,"–  (Değişik:RG-9/7/2025-32951) (1) Bu Tebliğ; 1 sayılı Cumhurbaşkanlığı Teşkilatı Hakkında Cumhurbaşkanlığı Kararnamesinin 385 inci ve 388/B maddeleri, 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararıyla yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Karar ve 17/10/2016 tarihli ve 2016/9495 sayılı Bakanlar Kurulu Kararıyla yürürlüğe konulan Yatırımlara Proje Bazlı Devlet Yardımı Verilmesine İlişkin Karara dayanılarak hazırlanmıştır. Tanımlar"
3,İKİNCİ BÖLÜM,"– (Değişik:RG-19/6/2020-31160) (1) Bu Tebliğde geçen; a) (Değişik:RG-9/7/2025-32951) 9903 sayılı Karar: 29/5/2025 tarihli ve 9903 sayılı Cumhurbaşkanı Kararıyla yürürlüğe konulan Yatırımlarda Devlet Yardımları Hakkında Kararı, b) 2016/9495 sayılı Karar: 17/10/2016 tarihli ve 2016/9495 sayılı Bakanlar Kurulu Kararıyla yürürlüğe konulan Yatırımlara Proje Bazlı Devlet Yardımı Verilmesine İlişkin Kararı, c) (Değişik:RG-27/4/2021-31467) Ar-Ge yüklenicisi: Proje kapsamında öngörülen Ar-Ge sürecinin bir kısmını veya tamamını ilgili TÜBİTAK destek programı kapsamında ortaklı Ar-Ge şeklinde yapmak üzere projeye dahil olan Türkiye’de yerleşik sermaye şirketini, ç) Bağımsız değerlendirici: Asgari olarak yükseköğretim kurumlarının dört yıllık fakülte ve yüksekokullarından mezun olan; meslek kuruluşu temsilcileri, 4/11/1981 tarihli ve 2547 sayılı Yükseköğretim Kanununun 38 inci maddesine göre yükseköğretim kurumları tarafından görevlendirilen öğretim elemanları veya alanında en az 5 (beş) yıl uzmanlık ve tecrübe birikimi olan kamu kurum/kuruluşlarında görev yapan kişileri, d) (Değişik:RG-9/7/2025-32951) Bağımsız danışmanlık firması: Teknoloji Hamlesi Programı kapsamında başvuruda bulunulan projeler için değerlendirme raporu hazırlanması amacıyla söz konusu Program amaçlarına uygun kriterlere göre Bakanlık tarafından yetkilendirilmiş firmayı, e) (Değişik:RG-9/7/2025-32951) Bağımsız değerlendirme raporu: Teknoloji Hamlesi Programı kapsamında başvuruda bulunan projeler için Bakanlık tarafından yetkilendirilmiş bağımsız danışmanlık firmalarından biri tarafından Bakanlık tarafından belirlenen formatta hazırlanacak değerlendirme raporunu, f) Bakan: Sanayi ve Teknoloji Bakanını, g) Bakanlık: Sanayi ve Teknoloji Bakanlığını, ğ) (Değişik:RG-26/7/2024-32613) Komisyon raporu: Başvuruların değerlendirilmesi süreçlerinde Komite değerlendirmesine sunulmak üzere Proje komisyonu tarafından hazırlanan raporu, h) Çağrı planı: Bakanlık tarafından yapılan çağrı duyurusu kapsamında, ilgili çağrı duyurusuna ilişkin başvuru ve değerlendirme süreçlerine ilişkin takvimi, desteklenecek ürün listesini ve çağrının uygulaması sürecinde kullanılacak standart şablonlara ilişkin ek dosyaları içeren çağrı duyurusu paketini, ı) (Değişik:RG-27/4/2021-31467) Genel Müdürlük: Stratejik Araştırmalar ve Verimlilik Genel Müdürlüğünü, i) (Değişik:RG-26/7/2024-32613) Katma değer tutarı: Proje kapsamında yapılan faaliyetlere bağlı olarak Program Portalinden yayımlanan katma değer formunun doldurulması suretiyle yıllık bazda hesaplanan tutarı, j) (Değişik:RG-26/7/2024-32613) KOBİ: 24/5/2023 tarihli ve 7297 sayılı Cumhurbaşkanı Kararı ile yürürlüğe konulan Küçük ve Orta Büyüklükteki İşletmeler Yönetmeliği kapsamında yer alan ve 5/8/2009 tarihli ve 2009/15431 sayılı Bakanlar Kurulu Kararı ile yürürlüğe konulan KOSGEB Tarafından Verilecek Hizmetler ve Desteklerden Yararlanacak Küçük ve Orta Büyüklükteki İşletmelere İlişkin Sektörel ve Bölgesel Önceliklerin Belirlenmesi Hakkında Kararda tespit edilen sektörlerde faaliyet gösteren küçük ve orta büyüklükteki işletmeleri, k) (Değişik:RG-9/7/2025-32951) Komite: Bakanlık bünyesinde Bakan onayı ile oluşturulan Teknoloji Hamlesi Programı Değerlendirme Komitesi/Teknoloji Odaklı Sanayi Hamlesi Programı Değerlendirme Komitesini, l) KOSGEB: Küçük ve Orta Ölçekli İşletmeleri Geliştirme ve Destekleme İdaresi Başkanlığını, m) Meslek kuruluşu: İşletmelere ve girişimcilere yönelik faaliyet gösteren, oda, borsa, birlik, konfederasyon, federasyon, vakıf, dernek ve kooperatifler ile küçük sanayi siteleri ve organize sanayi bölgeleri yönetimlerini, n) Öncelikli Ürün Listesi: Bakanlık tarafından dış ticaret verileri, talep gelişimi, rekabet yoğunluğu gibi çeşitli kriterler dikkate alınarak belirlenecek; orta-yüksek ve yüksek teknolojili sektörlerdeki ürünlerin ve bu sektörlerin gelişimi için kritik ürünlerin yer aldığı ve Bakanlık tarafından tebliğ ile yayımlanacak listeyi, o) (Değişik:RG-9/7/2025-32951) Program: Teknoloji Hamlesi Programı/Teknoloji Odaklı Sanayi Hamlesi Programını, ö) (Değişik:RG-26/7/2024-32613) Program izleme ve değerlendirme raporu: Desteklenmekte olan projelerin genel durumunu özetlemek üzere, izleme formunda yer alan bilgiler temel alınarak Genel Müdürlükçe hazırlanan ve Komiteye sunulan raporu, p) (Değişik:RG-26/7/2024-32613) Proje komisyonu: Program kapsamındaki başvuruların incelenmesi ve değerlendirilmesinden sorumlu; projeler hakkında Komiteye bilgi, değerlendirme ve görüş sunan; Bakanlık, bağlı/ilgili kuruluşların personeli ve ihtiyaç görülmesi halinde bağımsız değerlendiricilerden oluşan komisyonu, r) (Değişik:RG-26/7/2024-32613) Proje koordinatörü: Programa başvuran her bir proje için sekretarya işlemlerini koordine etmek ve destek kararı verilen projelerin izleme sürecinde  yer almak üzere görevlendirilen Genel Müdürlük personelini, s) (Değişik:RG-27/4/2021-31467) Proje paydaşı: Proje kapsamında üretilecek temel ürünü satın almak niyetiyle yatırımcıyla iş birliği yapan kamu kurum ve kuruluşu veya Türkiye’de yerleşik orta veya büyük ölçekli işletmeyi, ş) (Değişik:RG-26/7/2024-32613) Program Portali: Programa ilişkin bilgilendirme, başvuru, değerlendirme, izleme ve raporlamaların tek pencere üzerinden yapılmasını sağlamak amacıyla Bakanlık tarafından bağlı/ilgili kuruluşlarla koordineli olarak geliştirilen web tabanlı uygulamayı, t) (Değişik:RG-26/7/2024-32613) Proje grubu: Farklı yatırımcılar tarafından sunulmuş olmakla birlikte ortak bir hedefi gerçekleştirmek üzere oluşturulmuş birden çok projeyi, u) Teşvik belgesi: Yatırım teşvik belgesini, ü) TÜBİTAK: Türkiye Bilimsel ve Teknolojik Araştırma Kurumunu, v) (Değişik:RG-27/4/2021-31467) Temel ürün: Öncelikli Ürün Listesinde yer alan ve üretilmesi hedeflenen ürünü, y) Yatırımcı: Program kapsamındaki yatırım projesini gerçekleştirecek Türkiye’de yerleşik sermaye şirketini, z) Yeniden değerleme oranı: 4/1/1961 tarihli ve 213 sayılı Vergi Usul Kanununun mükerrer 298 inci maddesinin (B) fıkrası hükümleri çerçevesinde her yıl Hazine ve Maliye Bakanlığı tarafından Resmî Gazete’de ilan edilen oranı, aa) (Ek:RG-27/4/2021-31467) Ar-Ge süreci: TÜBİTAK’ın ilgili programı kapsamında sağladığı proje desteklerine konu olan faaliyetleri içeren yatırım projesi sürecini, bb) (Ek:RG-27/4/2021-31467) TUYSGM: Teşvik Uygulama ve Yabancı Sermaye Genel Müdürlüğünü, cc) (Ek:RG-27/4/2021-31467) Üretime yönelik yatırım süreci: Yatırım teşvik belgesi kapsamında yatırım olarak değerlendirilen faaliyetleri ve/veya KOSGEB’in ilgili programı kapsamında sağladığı proje desteklerine konu olan faaliyetleri içeren yatırım projesi sürecini, çç) (Ek:RG-27/4/2021-31467) Yatırım projesi: Öncelikli Ürün Listesindeki ürünlere ilişkin; yatırım teşvik belgesi kapsamında yatırım olarak değerlendirilen faaliyetleri ve/veya TÜBİTAK ile KOSGEB’in ilgili programları kapsamında sağladığı proje desteklerine konu olan faaliyetleri içeren projeyi, dd) (Ek:RG-26/7/2024-32613) Ön Değerlendirme Komisyonu: Program kapsamındaki başvuruların ön değerlendirmesinden sorumlu; Bakanlık, bağlı/ilgili kuruluşların personeli ve ihtiyaç görülmesi halinde bağımsız değerlendiricilerden oluşan komisyonu, ifade eder. Programın Tanımı ve Öncelikli Ürün Listesi (2) Programın tanımı (Değişik başlık:RG-26/7/2024-32613)"
4,,"– (Değişik:RG-27/4/2021-31467) (1) Program, Türkiye’de katma değerli üretimin artırılması amacı doğrultusunda, Bakanlık ve bağlı/ilgili kuruluşları tarafından sağlanan destek ve teşviklerin orta-yüksek ve yüksek teknoloji seviyeli sektörlere yoğunlaştırılmasına yönelik özel bir programdır. Programda, Türkiye için kritik öneme sahip ve gelecek potansiyeli yüksek ürünlerin ülke içindeki üretim kapasitesinin geliştirilmesi hedeflenmektedir. Bu kapsamda, Bakanlık tarafından ithalat bağımlılığının azaltılması, rekabet yoğunlaşması, yurt içi üretim yetkinlikleri, küresel talebin gelişim trendi, gelecek potansiyeli gibi çeşitli kriterler göz önünde bulundurularak belirlenen Öncelikli Ürün Listesine yönelik olarak Bakanlık tarafından sağlanan yatırım teşvikleri ile KOSGEB ve TÜBİTAK tarafından sağlanan proje desteklerinin tek pencere mekanizması ile bir arada ve/veya münhasıran sunulması öngörülmektedir. Ülkemizin ihtiyaç duyduğu teknolojik gelişime katkı sağlayacak yatırım projelerinin, uçtan uca bir yönetişim ve destek modeli ile Program kapsamında hayata geçirilmesi hedeflenmektedir. (2) Birinci fıkra hükümleri doğrultusunda, Bakanlık ve bağlı/ilgili kuruluşlarının sağladığı destekler; bu desteklerin orta-yüksek ve yüksek teknolojili ürünlere yönelik olarak verimli ve etkin bir şekilde kullanılmasını sağlamak üzere, Program (Değişik ibare:RG-26/7/2024-32613) Portali üzerinden tek pencere mekanizması ile yürütülür. (3) Program kapsamında tanımlanan destekler, Öncelikli Ürün Listesindeki ürünlerin üretilmesine ilişkin yatırım projelerine kullandırılır. (4) Program kapsamında başvuru, değerlendirme ve izleme süreçlerine dair bilgi akışı ve iletişim, Program (Değişik ibare:RG-26/7/2024-32613) Portali vasıtasıyla Genel Müdürlük tarafından sağlanır. (5) Genel Müdürlük yatırım projelerinin hayata geçirilmesini kolaylaştırmak amacıyla yatırımcılara bilgi ve destek sağlayabilir. (6) Program amacına uygun yatırım projeleri için Ar-Ge, ticarileşme, sabit yatırım ve üretim süreçlerinden ilgili proje başvurusu kapsamında Komite tarafından gerekli ve uygun görülenleri kapsayacak şekilde uçtan uca destek sağlanır. (7) Program kapsamında desteklenecek yatırım projelerinde; yatırımcının, üretilecek temel ürünü satın alma potansiyeli olan proje paydaş(lar)ı ile temel ürünün geliştirme sürecinde ve temel ürüne yönelik talep konusunda iş birliği yapması beklenir. Öncelikli Ürün Listesi"
5,ÜÇÜNCÜ BÖLÜM,"– (1) (Değişik:RG-9/7/2025-32951) Öncelikli Ürün Listesi, orta-yüksek ve yüksek teknolojili sektörlerdeki ürünler ve bu sektörlerin gelişimi için kritik önemi haiz ürünler arasından, dış ticaret verileri, talep gelişimi, rekabet yoğunluğu gibi çeşitli kriterler dikkate alınarak Bakanlık tarafından tebliğle belirlenir. (2) (Mülga:RG-9/7/2025-32951) (3) (Değişik:RG-26/7/2024-32613) Yürürlükte olan Öncelikli Ürün Listesi ayrıca Program Portalinde yayımlanır. Belirli bir çağrı planı kapsamında desteklenecek ürünler, çağrı duyurusu esnasında yürürlükte olan Öncelikli Ürün Listesinde yer alan ürünlerin sadece bir kısmını kapsayacak şekilde belirlenebilir ve çağrı planının ek listesi olarak Program Portalinde yayımlanır. Belirli bir çağrı planı içerisinde yapılan tüm değerlendirmeler, çağrı planının eki olarak yayımlanan ürün listesine göre yapılır. Komite, Program Yönetimi, Ön Değerlendirme Komisyonu, Proje Komisyonu, Proje Paydaşı, Ar-Ge Yüklenicisi ve Proje Grubu(3) Komite"
6,,"– (1) (Değişik:RG-27/4/2021-31467) Program kapsamında kesin başvurusu tamamlanan projeleri değerlendirmek, projelerin desteklenmesine dair karar almak, destek sürecini izlemek ve izleme sürecinde karar almak üzere Komite oluşturulur. (2) (Değişik:RG-19/6/2020-31160) Komite, Program kapsamında proje komisyonlarının oluşturulmasına, bu Tebliğ ve ilgili mevzuatın başkaca hükümleriyle çelişmemek kaydıyla program süreçlerinin uygulanmasına ilişkin uygulama kararları almaya, hangi projelerin destekleneceğine, proje özelinde değerlendirme yaparak Program kapsamındaki destek unsurlarından hangilerinin kullandırılacağına, ilgili mevzuatta yer alan koşul ve sınırlara aykırı olmamak kaydıyla verilecek desteklerin miktar, tür ve sürelerine, projelerin izleme sürecinde revizyonuna, ilgili mevzuatta belirtilen hallerin gerçekleşmesi halinde destek sürecinin sonlandırılmasına dair karar organıdır. (3) (Değişik:RG-26/7/2024-32613) Komite, Sanayi ve Teknoloji Bakanlığından üç, KOSGEB’den bir, TÜBİTAK’tan bir üye olmak üzere beş asıl ve dört yedek üyeden oluşur. Bakanlık adına Komitede görev alacak Komite Başkanı ile iki asıl ve iki yedek üye Bakan tarafından belirlenir. KOSGEB ve TÜBİTAK adına Komitede görev alacak asıl ve yedek üye, ilgili kurumlar tarafından belirlenerek Genel Müdürlüğe bildirilir. Asıl üyelerin Komite toplantılarına katılamadığı durumlarda ilgili üye yerine belirlenmiş olan yedek üye toplantılara katılarak asıl üye ile aynı yetkiyle karar alma sürecinde yer alır. Komite Başkanının toplantıya katılamaması halinde asıl üyelerden biri Komiteye Başkanlık eder. Gerekli görülmesi durumunda, Komite toplantılarına mali ve/veya teknik konularda bilgilerine başvurulmak üzere diğer kamu kurum ve kuruluşlarının temsilcileri ile alanında teknik uzmanlığı bulunan kişiler davet edilebilir. (4) (Değişik:RG-26/7/2024-32613) Komite, en az 3 (üç) üye ile toplanır. (5) (Değişik:RG-27/4/2021-31467) Komite tarafından destek başvurusunun kabulüne ya da reddine ilişkin kararlar, 13 üncü maddede belirtilen kriterler üzerinden puanlama yöntemiyle alınır. Karar verilecek diğer hususlar için oy çokluğu aranır. Oyların eşitliği durumunda ise Komite Başkanının oyu yönünde çoğunluk sağlanmış sayılır. Program yönetimi"
7,,"– (Başlığı ile Birlikte Değişik:RG-27/4/2021-31467) (1) (Değişik:RG-26/7/2024-32613) Genel Müdürlük; programın temel hedefler, odak alanlar, yol haritaları, uygulama planları gibi esaslarını ilgili paydaşlarla iş birliği halinde belirler. Ayrıca Genel Müdürlük, programın yönetimine ilişkin aşağıda yer alan görevleri ifa eder: a) Bakanlık ve bağlı/ilgili kuruluşlar tarafından Program kapsamında yapılacak tüm işlemlere yönelik iletişim ve bilgi akışını sağlamak. b) Komite ve proje komisyonları arasında bilgi ve belge akışını sağlamak. c) Program Portalini yönetmek. (2) Genel Müdürlük; Program yönetiminin yanında, yatırım projelerinin hayata geçirilmesini kolaylaştırmak amacıyla yatırımcı adaylarına başvuru süreçlerinde destek olunması, yatırımlara yönelik sektörel iş birliklerinin oluşumuna katkı sağlanması gibi fonksiyonları da icra eder. (3) (Değişik:RG-26/7/2024-32613) Genel Müdürlük; çalışanları arasından, her bir yatırım projesi için Program Portali üzerinden proje koordinatörü görevlendirir. Ön değerlendirme komisyonları"
8,,"(Başlığı ile Birlikte Değişik:RG-26/7/2024-32613) (1) Program kapsamında kesin başvurusu tamamlanan projeler için Komite tarafından üç üyeden oluşan ön değerlendirme komisyonları oluşturulur. Ön değerlendirme komisyonu üyeleri bir tanesi başkan olacak şekilde Bakanlık ve/veya bağlı/ilgili kuruluşların çalışanları arasından ve ihtiyaç görülmesi halinde bağımsız değerlendiriciler arasından belirlenir. (2) Ön değerlendirme komisyonları, başvuruların nitelik ve niceliğine bağlı olarak sektör, proje ölçeği, proje sayısı gibi kıstaslara göre ihtiyaç adedince teşekkül ettirilir. (3) Ön değerlendirme komisyonu üyeleri, görevlendirildikleri projeye/projelere ilişkin ön değerlendirme kararını oluşturur ve Program Portaline yükler. (4) Ön değerlendirme kararlarına itiraz edilmesi veya Komitenin talep etmesi halinde ön değerlendirme komisyonu projelere ilişkin ön değerlendirme kararlarını Komiteye sunar. Proje komisyonları"
8,,"/A- (Ek:RG-26/7/2024-32613) (1) Program kapsamında ön değerlendirme kararı olumlu olup bağımsız değerlendirme süreci çağrı planında öngörülen süre içerisinde tamamlanan projeler için Komite tarafından beş üyeden oluşan proje komisyonları oluşturulur. Proje komisyonları, başvuruların nitelik ve niceliğine bağlı olarak sektör, proje ölçeği, proje sayısı gibi kıstaslara göre ihtiyaç adedince teşekkül ettirilir. Proje komisyonu üyeleri bir tanesi başkan olacak şekilde asıl görevlerini devam ettirmek kaydıyla en az birer temsilci TÜBİTAK, KOSGEB ve TUYSGM tarafından olmak üzere Bakanlık ve/veya bağlı/ilgili kuruluşların çalışanları arasından ve ihtiyaç görülmesi halinde bağımsız değerlendiriciler arasından belirlenir. (2) Proje komisyonu üyeleri, görevlendirildikleri projeye/projelere ilişkin değerlendirme sürecinde görev alıp Komite değerlendirmesi öncesinde, üyelerin değerlendirme ve görüşlerini içeren komisyon raporunu oluşturur ve Program Portaline yükler. Proje komisyonunun sekretarya hizmetleri proje koordinatörü tarafından sağlanır. Proje komisyonunun rapor oluşturma sürecine dayanak teşkil eden ve doğrudan proje komisyonu tarafından talep edilmiş veya edinilmiş ek bilgi ve belgelerin de proje koordinatörü vasıtasıyla Program Portaline ve proje dosyasına eklenmesi zorunludur. (Ek cümle:RG-9/7/2025-32951) Bakanlık veya KOSGEB personeli ile bağımsız değerlendiriciler arasından Komite tarafından görevlendirilen proje komisyonu üyeleri, komisyonlarının görev alanına giren ve Ar-Ge desteği talebi olan projeler için ilgili projenin Ar-Ge bileşeninin ekonomik yarara dönüşme potansiyelinin değerlendirilmesi amacıyla TÜBİTAK tarafından görevlendirilebilir. (3) Proje komisyonunun değerlendirme ve görüşlerini içeren komisyon raporu, Komite açısından öneri mahiyetindedir. Proje komisyonu, hazırlayacağı raporu çoğunluğun görüşlerini dikkate alarak oybirliğiyle kabul eder. Raporla ilgili katılmadığı veya ek bilgi mahiyetinde belirtilmesini gerekli gördüğü hususlar bulunan proje komisyonu üyeleri, rapora ek olarak şerhlerini ekleyebilirler. Proje paydaşı, Ar-Ge yüklenicisi ve proje grubu"
9,DÖRDÜNCÜ BÖLÜM,"(Başlığı ile Birlikte Değişik: RG-26/7/2024-32613) (1) Program kapsamında desteklerden yararlanacak yatırımcının, ürün hakkında teknik yönlendirme kapasitesi bulunan ve/veya ürünü satın alma talebine sahip olan bir veya daha fazla proje paydaşı ile iş birliği yapması beklenir. Başvuru sahibi, proje paydaşının temel ürünü satın almaya ilişkin iradesi ve niyetini belirttiği niyet mektubunu veya paydaş ile imzaladıkları uzlaşı protokolünü, kesin başvuru aşamasında Program Portaline yükleyebilir. Bu belgeleri sunamayanlar ise, proje paydaşının sağlayacağı katkıya dair destekleyici sair bilgi ve belgeleri kesin başvuru esnasında Program Portaline yükleyebilir. (2) Proje paydaşının projeye aşağıdaki katkılardan bir kısmı veya tamamını sunması beklenir: a) Proje kapsamında üretilecek temel ürünü satın almaya ilişkin irade ve niyet beyanı. b) Proje süresince yatırımcıya teknik ve mali açıdan rehberlik yapılması. c) Yatırımcının öngördüğü faaliyetlerin gerçekleşme durumunun izlenmesi. ç) Temel ürünün belirlenen standart ve spesifikasyonlara uygun şekilde üretildiğinin takip edilmesi. d) Yatırımcının proje süresince karşılaşabileceği zorluklara ortak çözümler üretilmesi. (3) Başvuru sahibi ile proje paydaşı arasındaki iş birliği 13 üncü maddenin yedinci fıkrasının (j) bendi kapsamında Komitenin değerlendirmesinde bir puanlama kriteri olarak dikkate alınır. Komite, projenin paydaş eşliğinde yürütülmesi koşulu ile destek kararı verebilir. Bu durumda, başvuru sahibinin proje kapsamında belirlediği paydaş(lar) ile aralarındaki iş birliğine dair uzlaşı protokolü ve paydaş beyan formu sunması gerekir. (4) Yatırım projesinin TÜBİTAK desteklerine konu olabilecek faaliyetleri içeren Ar-Ge kısmı için yatırımcı, Ar-Ge faaliyetlerinin tamamını veya bir kısmını yürütmek üzere bir veya daha fazla Ar-Ge yüklenicisi ile ortaklı Ar-Ge projesi sunabilir. Ar-Ge faaliyetlerinin tamamını başvuru sahibi firma dışındaki bir veya daha fazla Ar-Ge yüklenicisi gerçekleştirecekse, projenin Ar-Ge kısmı, Ar-Ge yüklenicileri tarafından, ortaklı Ar-Ge projesi olarak hazırlanabilir. Böyle bir iş birliği yapılması durumunda başvuru esnasında, başvuru sahibiyle Ar-Ge yüklenicileri arasında imzalanmış Fikri ve Sınai Mülkiyet Hakları Paylaşımı Protokolünün de Program Portaline yüklenmesi beklenir. (5) Bir değer zinciri içerisinde koordinasyon halinde bir sektör veya ekosistemde iş birliği sağlayarak atılım yapmayı hedefleyen farklı yatırımcılara ait birden çok projeyi içeren proje grupları için Programa başvuru yapılabilir. Herhangi bir proje grubu kapsamında başvuru yapılması durumunda proje grubunun hizmet ettiği ortak hedef açık bir şekilde tanımlanmalıdır. Proje grubunda yer alan projelerin, proje içeriğinde ilgili proje grubunda yer alacak diğer projelere atıfta bulunmak kaydıyla müstakil başvurular olarak sunulması gerekir. Proje grubunda yer alan her bir proje için proje grubu kapsamında ilgili projenin sağlaması öngörülen katkılar ve her bir projenin ilgili çağrı planına ve Programa uygunluk durumu dikkate alınmak suretiyle müstakil değerlendirme yapılır ve her bir proje için müstakil Komite Kararı alınır. Başvuru, Başvuruların Değerlendirilmesi ve Destek Unsurlarına İlişkin Esaslar (4) Başvuru"
